secret,success,attempts,policy,use_hints
dambe,True,6,RAND,True
fenol,True,6,RAND,True
farel,True,7,RAND,True
síndi,True,5,RAND,True
eones,True,3,RAND,True
bígua,True,6,RAND,True
rapés,True,5,RAND,True
imune,True,6,RAND,True
guete,True,5,RAND,True
cimbi,True,5,RAND,True
bíter,True,3,RAND,True
ramar,True,5,RAND,True
parda,True,6,RAND,True
ítamo,True,3,RAND,True
áscon,True,3,RAND,True
farme,True,5,RAND,True
medão,True,7,RAND,True
miami,True,5,RAND,True
colau,True,5,RAND,True
gazel,True,4,RAND,True
quiço,True,6,RAND,True
titio,True,7,RAND,True
rópia,True,7,RAND,True
bauru,True,4,RAND,True
rubor,True,4,RAND,True
doble,True,5,RAND,True
merda,True,7,RAND,True
gálax,True,3,RAND,True
tênis,True,6,RAND,True
lácon,True,4,RAND,True
nondo,True,6,RAND,True
massa,True,3,RAND,True
bonzó,True,6,RAND,True
mufti,True,3,RAND,True
quile,True,6,RAND,True
anion,True,4,RAND,True
lagão,True,10,RAND,True
paião,False,10,RAND,True
ápoca,True,5,RAND,True
igaci,True,5,RAND,True
menês,True,4,RAND,True
elite,True,6,RAND,True
opala,True,6,RAND,True
grota,True,5,RAND,True
bijou,True,3,RAND,True
veras,True,5,RAND,True
bátis,True,5,RAND,True
cabos,True,4,RAND,True
bispo,True,4,RAND,True
vasal,True,4,RAND,True
morfe,True,6,RAND,True
orite,True,5,RAND,True
altor,True,4,RAND,True
japim,True,3,RAND,True
arabu,True,5,RAND,True
rigar,True,8,RAND,True
víria,True,8,RAND,True
botió,True,5,RAND,True
bouri,True,3,RAND,True
tópos,True,6,RAND,True
sábio,True,7,RAND,True
mingo,True,6,RAND,True
lombe,True,5,RAND,True
quera,True,4,RAND,True
direi,True,4,RAND,True
códon,True,6,RAND,True
floxo,True,3,RAND,True
pazão,True,7,RAND,True
sesto,True,5,RAND,True
vacuá,True,4,RAND,True
pacus,True,4,RAND,True
tibel,True,4,RAND,True
tetas,True,6,RAND,True
ferga,True,5,RAND,True
gúlue,True,5,RAND,True
badém,True,4,RAND,True
reide,True,4,RAND,True
bóson,True,4,RAND,True
êmulo,True,5,RAND,True
serás,True,6,RAND,True
gafar,True,8,RAND,True
cebas,True,4,RAND,True
mandi,True,7,RAND,True
poiar,True,4,RAND,True
unona,True,4,RAND,True
paraó,True,6,RAND,True
fruta,True,6,RAND,True
penão,True,6,RAND,True
ligal,True,4,RAND,True
abdal,True,4,RAND,True
acaiá,True,4,RAND,True
ocoto,True,5,RAND,True
servo,True,5,RAND,True
rigol,True,3,RAND,True
agave,True,5,RAND,True
vigar,True,7,RAND,True
dorco,True,5,RAND,True
cúmis,True,4,RAND,True
cuíne,True,3,RAND,True
cinco,True,3,RAND,True
caíba,True,5,RAND,True
filhó,True,5,RAND,True
tibel,True,3,RAND,True
aracu,True,7,RAND,True
chili,True,4,RAND,True
poule,True,3,RAND,True
soila,True,4,RAND,True
trens,True,5,RAND,True
vóbis,True,4,RAND,True
histo,True,9,RAND,True
tipói,True,5,RAND,True
sínus,True,6,RAND,True
díodo,True,5,RAND,True
pinha,True,7,RAND,True
usina,True,5,RAND,True
pupal,True,5,RAND,True
hexil,True,4,RAND,True
couzo,True,4,RAND,True
