policy,use_hints,n_games,wins,win_rate,win_rate_95CI_low,win_rate_95CI_high,mean_attempts_all,mean_attempts_all_95CI_low,mean_attempts_all_95CI_high,mean_attempts_wins,mean_attempts_wins_95CI_low,mean_attempts_wins_95CI_high
RAND,False,2000,1,0.0005,8.826773070546787e-05,0.0028268625032662133,10.0,10.0,10.0,10.0,,
ADJ-HEUR,True,2000,1999,0.9995,0.9971731374967338,0.9999117322692944,4.288,4.231399645411238,4.344600354588763,4.285142571285643,4.228792111673112,4.3414930308981745
ENTROPY*,True,2000,1998,0.999,0.9963610657309615,0.9997257210823479,4.249,4.195081622110656,4.302918377889343,4.243243243243243,4.189865409213735,4.296621077272751
RAND,True,2000,1998,0.999,0.9963610657309615,0.9997257210823479,4.8555,4.7938935167488115,4.917106483251189,4.85035035035035,4.789097649251333,4.911603051449368
