init_guess,trials_run,pct_solved,avg_steps,median_steps,max_steps,hardest_target,hardest_path_compact,worst_bucket_size_initial
adulterio,10000,100.00,2.024,2,6,tanga,adulterio → Y . . . 1 . . . . (|S|=10000) | taxa → B1 1 . B2 (|S|=6) | tava → B1 1 . B2 (|S|=5) | taca → B1 1 . B2 (|S|=4) | tampa → B1 1 . . B2 (|S|=3) | tanga → B1 1 1 1 B1 (|S|=2) | tanga → B1 1 1 1 B1 (|S|=1),66
mercenario,10000,100.00,2.044,2,6,hara,mercenario → . . . . . . 1 1 . . (|S|=10000) | pastelaria → . . . . . . 1 1 . B2 (|S|=80) | guarda → . . 1 1 . B2 (|S|=7) | barba → . 1 1 . B2 (|S|=4) | vara → . 1 1 B1 (|S|=3) | hara → B1 1 1 B1 (|S|=2) | hara → B1 1 1 B1 (|S|=1),99
vasectomia,10000,100.00,2.010,2,6,sola,vasectomia → . . 1 . . . 2 . . B3 (|S|=10000) | sofa → B1 1 . B2 (|S|=7) | sopa → B1 1 . B2 (|S|=5) | sonda → B1 1 . . B2 (|S|=4) | soja → B1 1 . B2 (|S|=3) | sola → B1 1 1 B1 (|S|=2) | sola → B1 1 1 B1 (|S|=1),83
demonstrar,10000,100.00,1.978,2,5,vaca,demonstrar → . . . . . . . . 1 . (|S|=10000) | tripulacao → . . . . . . 1 1 1 . (|S|=124) | faca → . 1 1 B1 (|S|=5) | caca → . 1 1 B1 (|S|=3) | vaca → B1 1 1 B1 (|S|=2) | vaca → B1 1 1 B1 (|S|=1),124
premonicao,10000,100.00,2.005,2,6,quale,premonicao → . . Y . . . . . 1 . (|S|=10000) | astrologia → 1 . . . . 2 . . . . (|S|=55) | vale → . 1 1 B1 (|S|=7) | dale → . 1 1 B1 (|S|=4) | bale → . 1 1 B1 (|S|=3) | quale → B1 1 1 1 B1 (|S|=2) | quale → B1 1 1 1 B1 (|S|=1),97
mensageiro,10000,100.00,2.004,2,7,galpao,mensageiro → . . . . Y 1 . . . B2 (|S|=10000) | gato → B1 1 . B2 (|S|=8) | gajo → B1 1 . B2 (|S|=6) | gado → B1 1 . B2 (|S|=5) | galo → B1 1 1 B2 (|S|=4) | galho → B1 1 1 . B2 (|S|=3) | galpao → B1 1 1 1 1 B1 (|S|=2) | galpao → B1 1 1 1 1 B1 (|S|=1),101
trapaceiro,10000,100.00,2.050,2,6,paulo,trapaceiro → . . . 1 1 . . . . B2 (|S|=10000) | passo → B1 1 . . B2 (|S|=7) | pago → B1 1 . B2 (|S|=6) | papo → B1 1 . B2 (|S|=5) | pablo → B1 1 . 2 B2 (|S|=4) | paulo → B1 1 1 1 B1 (|S|=2) | paulo → B1 1 1 1 B1 (|S|=1),97
crematorio,10000,100.00,2.033,2,6,hara,crematorio → . . . . 1 . . 2 . . (|S|=10000) | espingarda → . . . . . . 1 1 . B2 (|S|=81) | barba → . 1 1 . B2 (|S|=6) | vara → . 1 1 B1 (|S|=5) | lara → . 1 1 B1 (|S|=3) | hara → B1 1 1 B1 (|S|=2) | hara → B1 1 1 B1 (|S|=1),112
tripulacao,10000,100.00,1.978,2,6,dojo,tripulacao → . . . . . . . . . B1 (|S|=10000) | mensageiro → . . . . . . . . . B1 (|S|=54) | vovo → . 1 . B2 (|S|=5) | bobo → . 1 . B2 (|S|=4) | fofo → . 1 . B2 (|S|=3) | dojo → B1 1 1 B1 (|S|=2) | dojo → B1 1 1 B1 (|S|=1),87
recompensa,10000,100.00,1.979,2,6,raro,recompensa → B1 . . 2 . . . . . Y (|S|=10000) | razao → B1 1 . . B2 (|S|=8) | raio → B1 1 . B2 (|S|=6) | rabo → B1 1 . B2 (|S|=4) | rato → B1 1 . B2 (|S|=3) | raro → B1 1 1 B1 (|S|=2) | raro → B1 1 1 B1 (|S|=1),96
questionar,10000,100.00,2.060,2,7,fiji,questionar → . . . . . 1 . . . . (|S|=10000) | ventriculo → . . . . . 1 . . . . (|S|=15) | xixi → . 1 . B2 (|S|=7) | mimi → . 1 . B2 (|S|=5) | didi → . 1 . B2 (|S|=4) | pipi → . 1 . B2 (|S|=3) | fiji → B1 1 1 B1 (|S|=2) | fiji → B1 1 1 B1 (|S|=1),88
estrelinha,10000,100.00,1.996,2,6,quale,estrelinha → Y . . . . Y . . . 1 (|S|=10000) | amesterdao → 1 . 2 . . . . . . . (|S|=24) | vale → . 1 1 B1 (|S|=5) | bale → . 1 1 B1 (|S|=4) | gale → . 1 1 B1 (|S|=3) | quale → B1 1 1 1 B1 (|S|=2) | quale → B1 1 1 1 B1 (|S|=1),132
sacrilegio,10000,100.00,1.988,2,7,sova,sacrilegio → B1 2 . . . . . . . Y (|S|=10000) | sofa → B1 1 . B2 (|S|=8) | sopa → B1 1 . B2 (|S|=7) | sonda → B1 1 . . B2 (|S|=6) | soma → B1 1 . B2 (|S|=4) | soja → B1 1 . B2 (|S|=3) | sova → B1 1 1 B1 (|S|=2) | sova → B1 1 1 B1 (|S|=1),84
samaritano,10000,100.00,2.050,2,6,sola,samaritano → B1 2 . . . . . . . Y (|S|=10000) | sofa → B1 1 . B2 (|S|=6) | sopa → B1 1 . B2 (|S|=5) | soja → B1 1 . B2 (|S|=4) | sova → B1 1 . B2 (|S|=3) | sola → B1 1 1 B1 (|S|=2) | sola → B1 1 1 B1 (|S|=1),75
aconselhar,10000,100.00,2.025,2,6,lixar,aconselhar → . . . . . . 1 . 2 B2 (|S|=10000) | tripulacao → . Y Y . . 1 2 . . . (|S|=23) | ligar → B1 1 . 2 B2 (|S|=5) | lidar → B1 1 . 2 B2 (|S|=4) | livrar → B1 1 . . 2 B2 (|S|=3) | lixar → B1 1 1 1 B1 (|S|=2) | lixar → B1 1 1 1 B1 (|S|=1),72
ensolarado,10000,100.00,2.034,2,7,mola,ensolarado → . . . 1 1 1 . . . . (|S|=10000) | bola → . 1 1 B1 (|S|=8) | cola → . 1 1 B1 (|S|=6) | lola → . 1 1 B1 (|S|=5) | viola → . . 1 1 B1 (|S|=4) | gola → . 1 1 B1 (|S|=3) | mola → B1 1 1 B1 (|S|=2) | mola → B1 1 1 B1 (|S|=1),67
amesterdao,10000,100.00,1.992,2,5,vila,amesterdao → 1 . . . . . . . . . (|S|=10000) | relutancia → . . Y . . . . . 1 B2 (|S|=87) | ilha → 1 1 . B2 (|S|=5) | fila → . 1 1 B1 (|S|=3) | vila → B1 1 1 B1 (|S|=2) | vila → B1 1 1 B1 (|S|=1),110
respiracao,10000,100.00,2.051,2,6,fiji,respiracao → . . . . 1 . . . . . (|S|=10000) | ventriculo → . . . . . 1 . . . . (|S|=28) | xixi → . 1 . B2 (|S|=6) | mimi → . 1 . B2 (|S|=4) | didi → . 1 . B2 (|S|=3) | fiji → B1 1 1 B1 (|S|=2) | fiji → B1 1 1 B1 (|S|=1),95
americano,10000,100.00,2.085,2,6,dino,americano → . . . . 1 . . 2 B2 (|S|=10000) | sacrilegio → . . . . 1 . . . . B2 (|S|=13) | fino → . 1 1 B1 (|S|=5) | hino → . 1 1 B1 (|S|=4) | pino → . 1 1 B1 (|S|=3) | dino → B1 1 1 B1 (|S|=2) | dino → B1 1 1 B1 (|S|=1),63
interacao,10000,100.00,2.123,2,7,sova,interacao → . . . . . Y . . 1 (|S|=10000) | astrologia → . 1 . . 2 . . . . B3 (|S|=32) | sofa → B1 1 . B2 (|S|=6) | sopa → B1 1 . B2 (|S|=5) | soma → B1 1 . B2 (|S|=4) | soja → B1 1 . B2 (|S|=3) | sova → B1 1 1 B1 (|S|=2) | sova → B1 1 1 B1 (|S|=1),74
namoriscar,10000,100.00,2.030,2,6,jato,namoriscar → . 1 . 2 . . . . . . (|S|=10000) | adulterio → 1 . . . 2 . . . B3 (|S|=63) | fato → . 1 1 B1 (|S|=5) | gato → . 1 1 B1 (|S|=4) | pato → . 1 1 B1 (|S|=3) | jato → B1 1 1 B1 (|S|=2) | jato → B1 1 1 B1 (|S|=1),103
conquistar,10000,100.00,2.039,2,6,soja,conquistar → . Y . . . . 1 . 2 . (|S|=10000) | ensolarado → . . 1 1 . 2 . . . . (|S|=37) | sofa → B1 1 . B2 (|S|=5) | sopa → B1 1 . B2 (|S|=4) | soma → B1 1 . B2 (|S|=3) | soja → B1 1 1 B1 (|S|=2) | soja → B1 1 1 B1 (|S|=1),108
introducao,10000,100.00,2.016,2,6,jato,introducao → . . Y . . . . . 1 B2 (|S|=10000) | espartilho → . . . 1 . 2 . . . B3 (|S|=23) | fato → . 1 1 B1 (|S|=5) | gato → . 1 1 B1 (|S|=4) | mato → . 1 1 B1 (|S|=3) | jato → B1 1 1 B1 (|S|=2) | jato → B1 1 1 B1 (|S|=1),137
mercadoria,10000,100.00,2.031,2,6,sova,mercadoria → . . . . . . 1 . . B2 (|S|=10000) | balconista → . . . . Y . . 1 . B2 (|S|=35) | sofa → B1 1 . B2 (|S|=5) | sopa → B1 1 . B2 (|S|=4) | soja → B1 1 . B2 (|S|=3) | sova → B1 1 1 B1 (|S|=2) | sova → B1 1 1 B1 (|S|=1),104
candelabro,10000,100.00,2.000,2,5,jato,candelabro → . 1 . . . . . . . B2 (|S|=10000) | argumentos → 1 . . . . . . 2 2 . (|S|=52) | fato → . 1 1 B1 (|S|=4) | pato → . 1 1 B1 (|S|=3) | jato → B1 1 1 B1 (|S|=2) | jato → B1 1 1 B1 (|S|=1),84
balconista,10000,100.00,1.976,2,5,mijo,balconista → . . . . Y . 1 . . . (|S|=10000) | secundario → . . . . . . . . 1 B2 (|S|=61) | vivo → . 1 . B2 (|S|=4) | fixo → . 1 . B2 (|S|=3) | mijo → B1 1 1 B1 (|S|=2) | mijo → B1 1 1 B1 (|S|=1),116
cartilagem,10000,100.00,1.992,2,5,jato,cartilagem → . 1 . 2 . . . . . . (|S|=10000) | construido → . . . . 1 . . . . B2 (|S|=20) | fato → . 1 1 B1 (|S|=5) | pato → . 1 1 B1 (|S|=3) | jato → B1 1 1 B1 (|S|=2) | jato → B1 1 1 B1 (|S|=1),96
jornalista,10000,100.00,2.032,2,6,tabua,jornalista → . . . . Y . . . 1 B2 (|S|=10000) | taxa → B1 1 . B2 (|S|=8) | tava → B1 1 . B2 (|S|=6) | taca → B1 1 . B2 (|S|=5) | tampa → B1 1 . . B2 (|S|=3) | tabua → B1 1 1 1 B1 (|S|=2) | tabua → B1 1 1 1 B1 (|S|=1),62
menstruada,10000,100.00,1.974,2,5,polo,menstruada → . . . . . . . . . . (|S|=10000) | ventilacao → . . . . . Y . . . B1 (|S|=61) | olho → 1 1 . B2 (|S|=5) | bolo → . 1 1 B1 (|S|=4) | polo → B1 1 1 B1 (|S|=2) | polo → B1 1 1 B1 (|S|=1),83
infestacao,10000,100.00,2.049,2,5,lidar,infestacao → 1 . . . . . 2 . . . (|S|=10000) | supremacia → . . . Y . . . . 1 2 (|S|=81) | solteirona → . . 1 . . 2 3 . . Y (|S|=9) | ligar → B1 1 . 2 B2 (|S|=3) | lidar → B1 1 1 1 B1 (|S|=2) | lidar → B1 1 1 1 B1 (|S|=1),131
