bucket_key,count
"Y . . 1 . 2 3 Y . Y",8
"1 . . . . 2 3 . . .",8
"Y . . . Y . Y . . 1",8
". . 1 1 . . . . 2 .",8
"1 . 2 2 . . Y . . Y",8
". . 1 1 . Y . . . B2",8
"1 1 . . . . Y . . Y",8
"Y Y . . . . Y . . 1",8
"1 1 . 2 . . 3 . . .",8
". Y . . . 1 2 Y . .",8
"1 . . . 2 2 . Y 3 Y",8
"Y . . . . . 1 . 2 .",8
"1 . 2 2 . . . . Y .",8
". . Y 1 . 2 . . 3 .",8
"B1 . . . . . . . 2 B2",8
"Y . . . . Y . . . B1",8
"Y . Y 1 . . . . . .",8
"Y Y . . . 1 . . . .",7
". . . . 1 Y . . 2 B2",7
". . . Y 1 . . . 2 2",7
"Y . . Y . . Y . . 1",7
". . Y . . Y 1 . . .",7
". 1 . . . 2 3 . . .",7
"1 . . . Y . . . 2 B2",7
". . 1 1 . . Y . . Y",7
"1 . 2 . . Y 3 . . .",7
"1 . . . . 2 2 . . .",7
". Y . . . . 1 . 2 .",7
". 1 . 2 . . . . 3 .",7
". Y . 1 . . 2 . Y .",7
". . Y . . 1 2 Y . .",7
". . . . . 1 2 . . Y",7
". . . . Y . 1 . . .",7
". Y . Y . Y Y . . 1",7
". . . 1 . . 2 . 3 .",7
". . . . 1 . Y . 2 B2",7
"Y Y . . . 1 2 . . .",7
"1 . . 2 Y . . . . .",7
". . . 1 . Y . . 2 2",7
". . . 1 . 2 . 3 3 .",7
". . . 1 2 . . Y 3 B3",7
"Y . Y . . 1 2 Y . Y",7
". Y . 1 . . 2 Y . .",7
"Y . Y . 1 . 2 . . 3",7
"Y Y . Y . Y Y . . 1",7
"1 . . . . . . 2 2 Y",7
"Y . Y . 1 . 2 2 . .",7
"Y . . Y 1 2 . . 3 Y",7
". Y . . . Y 1 . 2 .",7
". . 1 . . 2 3 . . .",7
". Y . . . . 1 . . 2",7
". . . . . . 1 . . B2",7
". . . 1 Y . . 2 2 .",7
". . . Y . Y . Y 1 1",7
"Y . Y . . Y Y . . 1",7
"Y . . Y . Y . . 1 1",7
"1 . . . . . . 2 . .",7
"Y . . Y Y . Y . . 1",7
". 1 1 1 . . . . Y B2",7
"1 1 . 2 . . . . . B3",7
". . . . 1 . . . 2 B2",7
". . . . . 1 . 2 3 B3",7
"Y . . . . . . . . B1",7
"B1 . . . . . 2 Y . .",7
". . 1 1 . . 2 . Y .",7
". 1 . . 2 Y 3 . . .",7
". . . . . 1 . 2 . .",7
". . 1 1 1 Y 2 . Y .",7
". 1 1 1 . Y . . Y .",7
". Y . . . . Y . 1 1",7
". Y . Y 1 . . . 2 .",6
". . . . 1 2 3 . . .",6
". . . Y . Y Y . . 1",6
". 1 . Y . . . . 2 B2",6
"Y . . . 1 . . . . .",6
". . . Y . . . . 1 B2",6
"Y . . 1 . 2 . Y 3 Y",6
". . . . . Y 1 . . .",6
". . Y . 1 Y 2 2 . .",6
". . Y . . . Y . 1 1",6
"Y . Y . . 1 2 . . Y",6
". . . 1 Y . . . 2 B2",6
". 1 1 . . Y 2 . . .",6
"1 1 . 2 . . . . . .",6
". . . 1 . 2 . . . B3",6
"1 1 . 2 . . . . . Y",6
". . . 1 . 2 3 . Y .",6
". . . . . 1 . . . B2",6
"Y . 1 . . . . 2 . .",6
"Y . . 1 . . . . . 2",6
". . 1 . . 2 3 . . Y",6
". Y . . 1 . 2 2 . .",6
". . . . Y 1 2 . . .",6
". Y Y . . Y Y . . 1",6
"B1 1 1 1 . . . . 2 .",6
"1 . . 2 . . 3 . . Y",6
"1 1 . 2 . . 3 . . Y",6
". . . 1 2 . 3 . . .",6
"Y . . . . . Y 1 . 2",6
"1 . . . . 2 . . . Y",6
". . . 1 . 2 . Y 3 .",6
". . . . 1 1 2 . . .",6
"1 2 . . . . Y . . .",6
"1 . . . 2 . . . 3 B3",6
". . . Y Y . . . 1 1",6
". . Y . . Y Y . 1 1",6
"Y . . . 1 . 2 . . 3",6
". . . Y 1 . Y . 2 2",6
". Y . . 1 . 2 2 3 .",6
". . . 1 . . 2 . Y Y",6
"Y . 1 2 . . 3 . . Y",6
"Y . Y . . 1 . . . .",6
". Y . Y . . Y . . 1",6
". . Y Y . Y . . 1 1",6
"Y 1 . . . . . . . .",6
". . . Y . . Y Y . 1",6
". . . . . 1 Y . 2 2",6
". 1 . 2 . Y . . . .",6
"1 1 1 2 . Y . . . Y",6
"Y . . . 1 . . . . 2",6
". . . . 1 Y 2 2 3 .",6
"1 2 2 . . Y 3 . . Y",6
". Y . Y . Y . . . 1",6
". . . Y . 1 2 Y . .",6
". . Y . . . Y . . 1",6
"1 . . . 2 2 . Y 3 .",6
"1 1 1 . . 2 3 . . Y",6
"Y . . . 1 . 2 2 . .",6
"Y . 1 . . . 2 . . B3",6
"Y . . . . . 1 . 2 Y",6
"1 . 2 2 . . . . Y B3",6
". . . . Y Y 1 . 2 .",6
"Y Y . . . Y 1 . . .",6
"1 . 2 . . . 3 . . .",6
"Y . . . 1 2 . . . .",6
". . . 1 . . . . 2 B3",6
"B1 1 . . 2 . 3 . . .",6
". . . Y . . Y Y 1 1",6
"Y Y Y . . 1 2 Y . .",6
". 1 . . . 2 2 . . Y",6
"Y . . . . . 1 1 . .",6
". 1 . . . . . . 2 B2",6
". . . 1 1 Y 2 Y Y .",6
"B1 . . . . 2 . . . B3",6
". Y . . Y . 1 . . .",6
"1 2 . . . . 3 . . Y",6
"Y . . . . 1 2 Y . Y",5
"1 Y . . . 2 2 . . Y",5
". . 1 1 . . Y . . B2",5
". . . 1 . . 2 . . B3",5
"Y . . Y 1 . . . 2 .",5
". . . . 1 1 Y . 2 .",5
". . . Y . 1 2 . . Y",5
". . Y . . . 1 . . 2",5
"1 . . . 2 . Y . 3 B3",5
". . 1 1 . Y . . . .",5
". 1 . . . 2 3 Y . .",5
". . . . Y . 1 . 2 Y",5
"1 . . . . 2 . . . B3",5
"Y . . Y 1 . 2 . . .",5
"Y 1 . . . 2 . . . B3",5
"1 . 2 . . Y 3 . . Y",5
"B1 . . . . . 2 . . Y",5
"Y . . . 1 . 2 2 . B3",5
". . Y . . . 1 . . .",5
". . . 1 2 . 3 Y . .",5
"Y . . . . . 1 2 . Y",5
". . Y . . 1 2 . . .",5
"Y . Y . . . 1 1 . .",5
"Y . . . 1 . 2 . 3 .",5
"Y . Y . . . Y . . B1",5
"Y . . . 1 . 2 . . Y",5
"1 1 1 . . 2 3 Y . .",5
". . . . 1 Y 2 2 3 B3",5
". . . Y . . 1 . 2 .",5
". . . 1 1 . . . 2 Y",5
". . . 1 1 . 2 . . Y",5
". Y . . . 1 2 . . Y",5
"Y . 1 . . 2 . . . .",5
"Y . . 1 . . . . 2 Y",5
". . . . . . 1 1 2 .",5
"1 . . 2 . Y Y . . Y",5
"Y . . . . . Y . 1 1",5
". Y Y . . . Y . 1 1",5
". . 1 2 . . . . 3 Y",5
". . Y 1 . 2 3 Y . .",5
"Y . . 1 . 2 . Y . .",5
"1 . 2 2 . . . Y Y B3",5
"1 1 . . . Y . . . Y",5
". . . 1 2 Y 3 . Y .",5
"1 . 2 2 . . . . Y Y",5
". . . . . Y . . 1 1",5
". 1 . 2 . . 3 . Y .",5
"1 1 . 2 . Y . . . B3",5
"Y . Y . 1 . 2 . . .",5
"B1 1 1 2 . . . . . B3",5
"Y . . . . Y 1 . 2 .",5
"1 . . . 2 2 . . 3 .",5
"B1 . . 2 . . . . . .",5
"Y Y . . . . 1 . . 2",5
". Y . . 1 Y 2 2 3 .",5
". 1 . . . 2 3 . . Y",5
". . . 1 . . 2 . . Y",5
". . . . 1 . . . 2 Y",5
". Y . . Y 1 2 . . .",5
"B1 . . 2 2 . 3 . Y .",5
"Y . . Y 1 . 2 . Y .",5
". Y Y . . Y 1 . . .",5
". . . . . Y Y 1 . .",5
". . . 1 . . 2 . 3 B3",5
". . . Y 1 2 3 . . Y",5
"Y . . Y . Y Y . . 1",5
"Y Y . . Y . Y . . 1",5
". . . 1 . 2 . 3 4 .",5
". . . Y Y . Y . . 1",5
". . . . 1 1 2 . . Y",5
"1 . . 2 . . Y . . Y",5
"1 . . 2 Y . 3 . . .",5
"1 . . 2 . . . . 3 .",5
". Y . Y 1 2 3 . . .",5
". . . . . Y 1 . . 2",5
". . . . Y 1 . . 2 .",5
"1 . 2 3 . . . . . Y",5
"1 1 . . . 2 . . . B3",5
". Y . Y . . . . 1 1",5
"B1 . . 2 Y . 3 . . .",5
"Y Y . . . 1 . . 2 Y",5
". 1 . . . . 2 . 3 B3",5
"Y . Y . 1 . 2 2 3 B3",5
"Y . . . . . Y Y . 1",5
"1 Y . Y . . . . 2 B2",5
". . . Y . 1 . 2 . .",5
". . . Y . . 1 . 2 Y",5
". . . . 1 2 . . . .",5
". . 1 2 . . Y . . Y",5
". Y . Y . 1 2 . . Y",5
". . . . 1 1 2 Y . .",5
". . 1 1 1 . 2 . Y .",5
". 1 . . . Y Y . 2 2",5
". . . Y . 1 . 2 3 Y",5
". Y . . 1 . 2 . 3 .",5
"Y Y . . . 1 . . 2 .",5
"1 . . . . . Y . 2 B2",5
". 1 . 2 . Y 3 . . .",5
". Y . . . 1 . . 2 Y",5
"Y . . . 1 2 Y . 3 Y",5
". . . Y 1 . 2 Y . .",5
"B1 1 . 2 Y . Y . . B3",5
"Y Y Y 1 . . 2 Y . .",5
"Y . . 1 . 2 . 3 . .",5
". . Y . . . 1 . 2 Y",5
". . . . Y Y 1 . . .",5
". . . 1 . . . . 2 Y",5
". 1 1 Y . . 2 . . Y",5
". . . . . . Y 1 2 .",5
"B1 . 2 . . Y . Y . .",5
"Y Y . . 1 . 2 . . .",5
". 1 . . 2 Y . . 3 B3",5
"1 . . . 2 2 . Y 3 B3",5
". . . . . 1 1 . 2 .",5
"Y . . 1 . 2 . . . B3",5
". . . Y . . . 1 1 .",5
". 1 1 1 . Y . Y Y .",5
"Y . Y 1 . . 2 . . .",5
". . . 1 . . 2 . 3 Y",5
"Y . Y . . 1 . . . 2",5
"Y . Y . . . . . . 1",5
". Y . Y . Y . . 1 1",5
"Y . . 1 2 . Y . . B3",5
"1 . . . . 2 . Y . Y",5
". . . 1 . . Y . 2 2",5
"B1 . . . . . 2 . . .",5
"B1 1 . 2 . Y . . . B3",5
". . Y . . 1 2 . . Y",5
